nohup: ignoring input
🚀 系统监控Agent启动！准备建立数据库连接池...
✅ 数据库网络打通！准备开启 5 秒级轮询上报...
==================================================
✅ 识别到本机的物理核载名: xiu-virtual-machine
[19:46:12] 📡 成功上报 -> 内存: 45.65% | CPU: 1.52%
[19:46:17] 📡 成功上报 -> 内存: 45.77% | CPU: 1.04%
[19:46:22] 📡 成功上报 -> 内存: 45.77% | CPU: 1.02%
[19:46:27] 📡 成功上报 -> 内存: 45.77% | CPU: 1.02%
[19:46:32] 📡 成功上报 -> 内存: 45.76% | CPU: 1.02%
[19:46:37] 📡 成功上报 -> 内存: 45.76% | CPU: 0.51%
[19:46:42] 📡 成功上报 -> 内存: 45.76% | CPU: 1.02%
[19:46:47] 📡 成功上报 -> 内存: 45.76% | CPU: 0.52%
[19:46:52] 📡 成功上报 -> 内存: 45.75% | CPU: 0.52%
[19:46:57] 📡 成功上报 -> 内存: 45.75% | CPU: 0.51%
[19:47:02] 📡 成功上报 -> 内存: 45.75% | CPU: 0.00%
[19:47:07] 📡 成功上报 -> 内存: 45.74% | CPU: 0.51%
[19:47:12] 📡 成功上报 -> 内存: 45.74% | CPU: 0.51%
[19:47:17] 📡 成功上报 -> 内存: 45.74% | CPU: 0.00%
[19:47:22] 📡 成功上报 -> 内存: 45.74% | CPU: 0.51%
[19:47:27] 📡 成功上报 -> 内存: 45.74% | CPU: 1.02%
[19:47:32] 📡 成功上报 -> 内存: 45.73% | CPU: 0.00%
[19:47:37] 📡 成功上报 -> 内存: 45.73% | CPU: 0.00%
[19:47:42] 📡 成功上报 -> 内存: 45.73% | CPU: 0.51%
[19:47:47] 📡 成功上报 -> 内存: 45.72% | CPU: 0.00%
[19:47:52] 📡 成功上报 -> 内存: 45.72% | CPU: 0.51%
[19:47:57] 📡 成功上报 -> 内存: 45.72% | CPU: 0.00%
[19:48:02] 📡 成功上报 -> 内存: 45.72% | CPU: 0.51%
[19:48:07] 📡 成功上报 -> 内存: 45.71% | CPU: 2.04%
[19:48:12] 📡 成功上报 -> 内存: 45.71% | CPU: 0.51%
[19:48:17] 📡 成功上报 -> 内存: 45.71% | CPU: 0.51%
[19:48:22] 📡 成功上报 -> 内存: 45.70% | CPU: 1.02%
[19:48:27] 📡 成功上报 -> 内存: 45.70% | CPU: 1.03%
[19:48:32] 📡 成功上报 -> 内存: 45.70% | CPU: 0.00%
[19:48:37] 📡 成功上报 -> 内存: 45.70% | CPU: 0.51%
[19:48:42] 📡 成功上报 -> 内存: 45.70% | CPU: 0.00%
[19:48:47] 📡 成功上报 -> 内存: 45.69% | CPU: 0.00%
[19:48:52] 📡 成功上报 -> 内存: 45.69% | CPU: 0.52%
[19:48:57] 📡 成功上报 -> 内存: 45.69% | CPU: 0.00%
[19:49:02] 📡 成功上报 -> 内存: 45.68% | CPU: 0.51%
[19:49:07] 📡 成功上报 -> 内存: 45.68% | CPU: 0.51%
[19:49:12] 📡 成功上报 -> 内存: 45.68% | CPU: 0.00%
[19:49:17] 📡 成功上报 -> 内存: 45.68% | CPU: 0.00%
[19:49:22] 📡 成功上报 -> 内存: 45.68% | CPU: 0.00%
[19:49:27] 📡 成功上报 -> 内存: 45.67% | CPU: 0.51%
[19:49:32] 📡 成功上报 -> 内存: 45.67% | CPU: 0.51%
[19:49:37] 📡 成功上报 -> 内存: 45.67% | CPU: 0.00%
[19:49:42] 📡 成功上报 -> 内存: 45.66% | CPU: 0.00%
[19:49:47] 📡 成功上报 -> 内存: 45.66% | CPU: 0.51%
[19:49:52] 📡 成功上报 -> 内存: 45.66% | CPU: 0.51%
[19:49:57] 📡 成功上报 -> 内存: 45.66% | CPU: 0.51%
[19:50:02] 📡 成功上报 -> 内存: 45.65% | CPU: 0.00%
[19:50:07] 📡 成功上报 -> 内存: 45.65% | CPU: 0.00%
[19:50:12] 📡 成功上报 -> 内存: 45.65% | CPU: 0.00%
[19:50:17] 📡 成功上报 -> 内存: 45.65% | CPU: 0.51%
[19:50:22] 📡 成功上报 -> 内存: 45.64% | CPU: 0.00%
[19:50:27] 📡 成功上报 -> 内存: 45.64% | CPU: 0.51%
[19:50:32] 📡 成功上报 -> 内存: 45.64% | CPU: 0.00%
[19:50:37] 📡 成功上报 -> 内存: 45.64% | CPU: 0.00%
[19:50:42] 📡 成功上报 -> 内存: 45.63% | CPU: 0.51%
[19:50:47] 📡 成功上报 -> 内存: 45.63% | CPU: 0.00%
[19:50:52] 📡 成功上报 -> 内存: 45.63% | CPU: 0.51%
[19:50:57] 📡 成功上报 -> 内存: 45.63% | CPU: 1.02%
[19:51:02] 📡 成功上报 -> 内存: 45.62% | CPU: 0.00%
[19:51:07] 📡 成功上报 -> 内存: 45.62% | CPU: 2.04%
[19:51:12] 📡 成功上报 -> 内存: 45.62% | CPU: 4.21%
[19:51:17] 📡 成功上报 -> 内存: 45.62% | CPU: 1.56%
[19:51:24] 📡 成功上报 -> 内存: 45.61% | CPU: 7.35%
[19:51:29] 📡 成功上报 -> 内存: 45.40% | CPU: 3.92%
[19:51:33] 📡 成功上报 -> 内存: 45.40% | CPU: 7.69%
[19:51:40] 📡 成功上报 -> 内存: 45.40% | CPU: 9.26%
[19:51:44] 📡 成功上报 -> 内存: 45.03% | CPU: 3.13%
[19:51:48] 📡 成功上报 -> 内存: 45.04% | CPU: 1.16%
[19:51:53] 📡 成功上报 -> 内存: 45.04% | CPU: 1.58%
[19:51:58] 📡 成功上报 -> 内存: 45.03% | CPU: 1.74%
[19:52:03] 📡 成功上报 -> 内存: 45.03% | CPU: 1.04%
[19:52:10] 📡 成功上报 -> 内存: 45.03% | CPU: 1.67%
[19:52:13] 📡 成功上报 -> 内存: 45.03% | CPU: 2.11%
[19:52:19] 📡 成功上报 -> 内存: 45.03% | CPU: 1.24%
[19:52:23] 📡 成功上报 -> 内存: 45.05% | CPU: 1.06%
[19:52:28] 📡 成功上报 -> 内存: 45.05% | CPU: 1.27%
[19:52:34] 📡 成功上报 -> 内存: 45.05% | CPU: 1.26%
[19:52:38] 📡 成功上报 -> 内存: 45.05% | CPU: 1.96%
[19:52:44] 📡 成功上报 -> 内存: 45.05% | CPU: 1.46%
[19:52:48] 📡 成功上报 -> 内存: 45.05% | CPU: 2.01%
[19:52:52] 📡 成功上报 -> 内存: 45.05% | CPU: 0.51%
[19:52:57] 📡 成功上报 -> 内存: 45.05% | CPU: 0.51%
[19:53:02] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
[19:53:07] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
[19:53:12] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
[19:53:17] 📡 成功上报 -> 内存: 45.05% | CPU: 0.51%
[19:53:22] 📡 成功上报 -> 内存: 45.05% | CPU: 1.01%
[19:53:27] 📡 成功上报 -> 内存: 45.05% | CPU: 0.51%
[19:53:32] 📡 成功上报 -> 内存: 45.05% | CPU: 0.00%
